id,sexo,anos,meses,l3sd,l2sd,l1sd,sd0,sd1,sd2,sd3
92,2,2,6,12.3,13.2,14.3,15.5,16.9,18.5,20.4
93,2,2,7,12.2,13.2,14.3,15.5,16.9,18.5,20.4
94,2,2,8,12.2,13.2,14.3,15.5,16.9,18.5,20.4
95,2,2,9,12.2,13.1,14.2,15.5,16.9,18.5,20.3
96,2,2,10,12.2,13.1,14.2,15.4,16.8,18.5,20.3
97,2,2,11,12.1,13.1,14.2,15.4,16.8,18.4,20.3
98,2,3,0,12.1,13.1,14.2,15.4,16.8,18.4,20.3
99,2,3,1,12.1,13.1,14.1,15.4,16.8,18.4,20.3
100,2,3,2,12.1,13,14.1,15.4,16.8,18.4,20.3
101,2,3,3,12,13,14.1,15.3,16.8,18.4,20.3
102,2,3,4,12,13,14.1,15.3,16.8,18.4,20.3
103,2,3,5,12,13,14.1,15.3,16.8,18.4,20.4
104,2,3,6,12,12.9,14,15.3,16.8,18.4,20.4
105,2,3,7,11.9,12.9,14,15.3,16.8,18.4,20.4
106,2,3,8,11.9,12.9,14,15.3,16.8,18.5,20.4
107,2,3,9,11.9,12.9,14,15.3,16.8,18.5,20.5
108,2,3,10,11.9,12.9,14,15.3,16.8,18.5,20.5
109,2,3,11,11.8,12.8,14,15.3,16.8,18.5,20.5
110,2,4,0,11.8,12.8,14,15.3,16.8,18.5,20.6
111,2,4,1,11.8,12.8,13.9,15.3,16.8,18.5,20.6
112,2,4,2,11.8,12.8,13.9,15.3,16.8,18.6,20.7
113,2,4,3,11.8,12.8,13.9,15.3,16.8,18.6,20.7
114,2,4,4,11.7,12.8,13.9,15.2,16.8,18.6,20.7
115,2,4,5,11.7,12.7,13.9,15.3,16.8,18.6,20.8
116,2,4,6,11.7,12.7,13.9,15.3,16.8,18.7,20.8
117,2,4,7,11.7,12.7,13.9,15.3,16.8,18.7,20.9
118,2,4,8,11.7,12.7,13.9,15.3,16.8,18.7,20.9
119,2,4,9,11.7,12.7,13.9,15.3,16.9,18.7,21
120,2,4,10,11.7,12.7,13.9,15.3,16.9,18.8,21
121,2,4,11,11.6,12.7,13.9,15.3,16.9,18.8,21
122,2,5,0,11.6,12.7,13.9,15.3,16.9,18.8,21.1
